,term-or-expression,explicit-or-implicit,pt-brazilian-portuguese,pt-contextual-label,pt-hate-label,pt-deeply-culture-rooted,en-american-english,en-contextual-label,en-hate-label,es-latin-spanish,es-contextual-label,es-hate-label,fr-african-french,fr-contextual-label,fr-hate-Label,ge-german,ge-contextual-label,ge-hate-Label,tu-turkish,tu-contextual-label,tu-hate-Label,Meaning Sources
27,term,explicit,fuder,1.0,0,0.0,fuck,1.0,0,joder,1.0,0,putain de ,1.0,0,ficken,1.0,0,kahretsin,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/foder/
28,term,explicit,foder,1.0,0,0.0,fuck,1.0,0,joder,1.0,0,putain de ,1.0,0,ficken,1.0,0,kahretsin,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/foder/
29,expression,explicit,vá se fuder,1.0,0,0.0,fuck you,1.0,0,vete a la mierda,1.0,0,va te faire foutre !,1.0,0,Du kannst mich mal kreuzweise (am Arsch lecken),1.0,0,git kendini becer,1.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fuck-you-them-it?q=fuck+it
30,term,explicit,doida,1.0,0,0.0,fool,1.0,0,loca,1.0,0,fou,1.0,0,Irrer / Verrückter / Wahnsinniger,1.0,0,deli,1.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fool
31,term,explicit,doido,1.0,0,0.0,fool,1.0,0,loco,1.0,0,folie,1.0,0,geistige Umnachtung,1.0,0,deli,1.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fool
32,term,explicit,miliciano,1.0,0,0.0,militiamen,1.0,0,miliciano,1.0,0,milicien,1.0,0,no-translation,1.0,0,0,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/miliciano/
33,expression,explicit,sangue suga,0.0,0,0.0,parasite,0.0,0,sanguijuela,0.0,0,0,0.0,0,Parasit/Ungeziefer ,0.0,0,kan emici,0.0,0,https://michaelis.uol.com.br/palavra/w40k8/sanguessuga/
34,expression,explicit,sanguessuga,0.0,0,0.0,leech,0.0,0,sanguijuela,0.0,0,sangsue,0.0,0,0,0.0,0,sülük,0.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/leech
35,expression,explicit,lambem o saco,1.0,0,0.0,ass kissers (adj) / to kiss someone's ass (v),1.0,0,lamben los huevos,1.0,0,il/elles lèchent le sac,1.0,0,Lutsch meinen Schwanz,1.0,0,enayi,1.0,0,https://www.dicionarioinformal.com.br/lambe+saco/
36,term,explicit,criatura,0.0,0,0.0,creature,0.0,0,criatura,0.0,0,créature,0.0,0,Kreatur,0.0,0,yaratık,0.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/creature
37,term,explicit,peste,0.0,0,0.0,plague,0.0,0,plaga,0.0,0,peste,0.0,0,...wie die Pest,0.0,0,veba,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/peste/
38,term,explicit,ladrão,1.0,0,0.0,thief,1.0,0,ladrón,1.0,0,voleur,1.0,0,Dieb  ,1.0,0,hırsız,1.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/thief
39,term,explicit,ladra,1.0,0,0.0,thief,1.0,0,ladrona,1.0,0,0,0.0,0,Diebin,1.0,0,hırsız,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/ladra/
40,term,explicit,ladrona,1.0,0,0.0,thief,1.0,0,ladrona,1.0,0,0,0.0,0,Dieb,1.0,0,hırsız,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/ladrona/
41,term,explicit,safado,1.0,0,0.0,manwhore,1.0,0,cabrón,1.0,0,fripouille,1.0,0,Schurke,1.0,0,utanmaz,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/safado/
42,term,explicit,asqueroso,1.0,0,0.0,disgusting,1.0,0,asqueroso,1.0,0,dégoûtant,1.0,0,bösartig (Person),1.0,0,mide bulandırıcı,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/asqueroso/
